id,name,team,position,points_total,Minutes,Minutes_points,Try,Try_points,Assists,Assists_points,Conversion,Conversion_points,Penalty,Penalty_points,MetresCarried,MetresCarried_points,DefendersBeaten,DefendersBeaten_points,Tackles,Tackles_points,PenaltyConceded,PenaltyConceded_points,FiftyTwentyTwo,FiftyTwentyTwo_points,KicksRecovered,KicksRecovered_points,DropGoal,DropGoal_points,Offloads,Offloads_points,LineoutSteal,LineoutSteal_points,BreakdownSteal,BreakdownSteal_points,PlayerOfTheMatch,PlayerOfTheMatch_points,AttackingScrumWin,AttackingScrumWin_points,YellowCard,YellowCard_points,crit_18,computed_points_total,points_delta
1322,T. Attissogbe,France,Back-three,32,80,0,1,10,0,0,0,0,0,0,45.0,4,2,4,8,8,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,32,0
704,L. Bielle-Biarrey,France,Back-three,51,80,0,2,20,0,0,0,0,0,0,99.0,9,5,10,8,8,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
108,T. Ramos,France,Back-three,46,80,0,0,0,1,4,4,8,1,3,116.0,11,6,12,0,0,0,0,0,0,1,2,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,46,0
1260,N. Depoortere,France,Centre,36,80,0,0,0,0,0,0,0,0,0,61.0,6,7,14,14,14,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,36,0
1662,K. Gourgues,France,Centre,6,30,0,0,0,0,0,0,0,0,0,18.0,1,0,0,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0
383,Y. Moefana,France,Centre,15,50,0,0,0,1,4,0,0,0,0,22.0,2,1,2,3,3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,15,0
117,M. Jalibert,France,Fly-half,52,80,0,1,10,1,4,0,0,0,0,73.0,7,5,10,11,11,0,0,0,0,1,2,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,52,0
113,A. Dupont,France,Scrum-half,30,74,0,0,0,1,4,0,0,0,0,35.0,3,3,6,6,6,1,-1,0,0,5,10,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,30,0
1973,B. Serin,France,Scrum-half,6,6,0,0,0,0,0,0,0,0,0,22.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
206,F. Cros,France,Back-row,10,62,0,0,0,0,0,0,0,0,0,7.0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,10,0
1320,O. Jegou,France,Back-row,31,80,0,0,0,0,0,0,0,0,0,17.0,1,3,6,15,15,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,7,7,0,0,0,31,0
249,A. Jelonch,France,Back-row,30,80,0,0,0,0,0,0,0,0,0,5.0,0,1,2,17,17,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,7,7,0,0,0,30,0
1979,L. Nouchi,France,Back-row,17,18,0,0,0,0,0,0,0,0,0,23.0,2,1,2,12,12,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,17,0
196,C. Ollivon,France,Back-row,23,50,0,1,15,0,0,0,0,0,0,22.0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,23,0
1319,H. Auradou,France,Second-row,18,30,0,0,0,0,0,0,0,0,0,17.0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,3,3,0,0,0,18,0
1341,M. Guillard,France,Second-row,42,50,0,0,0,1,4,0,0,0,0,43.0,4,3,6,7,7,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,15,4,4,0,0,0,42,0
1257,E. Meafou,France,Second-row,11,30,0,0,0,0,0,0,0,0,0,0.0,0,0,0,7,7,1,-1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,3,0,0,0,11,0
111,D. Aldegheri,France,Prop,6,50,0,0,0,0,0,0,0,0,0,0.0,0,1,2,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,6,0
218,J. Gros,France,Prop,9,50,0,0,0,0,0,0,0,0,0,4.0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,9,0
1370,R. Montagne,France,Prop,18,30,0,0,0,0,0,0,0,0,0,5.0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,3,0,0,0,18,0
1637,R. Neti,France,Prop,5,30,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0
110,J. Marchand,France,Hooker,12,50,0,0,0,0,0,0,0,0,0,4.0,0,1,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,12,0
208,P. Mauvaka,France,Hooker,20,30,0,0,0,0,0,0,0,0,0,4.0,0,0,0,10,10,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,3,3,0,0,0,20,0
1373,T. O'Brien,Ireland,Back-three,7,50,0,0,0,0,0,0,0,0,0,15.0,1,0,0,7,7,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
706,J. Osborne,Ireland,Back-three,21,73,0,0,0,0,0,0,0,0,0,68.0,6,1,2,3,3,1,-1,1,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
73,J. Stockdale,Ireland,Back-three,13,80,0,0,0,0,0,0,0,0,0,33.0,3,3,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
257,S. McCloskey,Ireland,Centre,27,80,0,0,0,1,4,0,0,0,0,30.0,3,3,6,10,10,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,27,0
72,G. Ringrose,Ireland,Centre,12,80,0,0,0,0,0,0,0,0,0,34.0,3,2,4,3,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,12,0
705,J. Crowley,Ireland,Fly-half,6,30,0,0,0,0,0,0,0,0,0,23.0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1335,S. Prendergast,Ireland,Fly-half,32,80,0,0,0,0,0,2,4,0,0,23.0,2,3,6,13,13,1,-1,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,32,0
327,C. Casey,Ireland,Scrum-half,1,7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
283,J. Gibson-Park,Ireland,Scrum-half,12,80,0,0,0,0,0,0,0,0,0,4.0,0,1,2,4,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
286,J. Conan,Ireland,Back-row,5,30,0,0,0,0,0,0,0,0,0,7.0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0
182,C. Doris,Ireland,Back-row,34,80,0,0,0,0,0,0,0,0,0,29.0,2,3,6,15,15,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,0,4,4,0,0,0,34,0
328,C. Prendergast,Ireland,Back-row,15,50,0,0,0,0,0,0,0,0,0,3.0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,15,0
318,N. Timoney,Ireland,Back-row,33,30,0,1,15,0,0,0,0,0,0,38.0,3,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,2,2,0,0,0,33,0
68,J. van der Flier,Ireland,Back-row,14,50,0,0,0,0,0,0,0,0,0,15.0,1,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,14,0
291,T. Beirne,Ireland,Second-row,39,80,0,0,0,1,4,0,0,0,0,12.0,1,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,4,4,0,0,0,39,0
434,J. McCarthy,Ireland,Second-row,12,50,0,0,0,0,0,0,0,0,0,2.0,0,1,2,9,9,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,12,0
152,J. Ryan,Ireland,Second-row,9,30,0,0,0,0,0,0,0,0,0,7.0,0,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,9,0
290,F. Bealham,Ireland,Prop,0,21,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332,T. Clarkson,Ireland,Prop,8,59,0,0,0,0,0,0,0,0,0,2.0,0,0,0,5,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0
